"","station_id","stationname","daytype","rides","date"
"17729",40390,"Forest Park","W",3380,2018-04-18
"17749",40390,"Forest Park","W",3170,2018-04-16
"17818",40390,"Forest Park","W",3248,2018-06-22
"17832",40390,"Forest Park","W",3373,2018-05-03
"18157",40390,"Forest Park","W",3467,2018-06-29
"18236",40390,"Forest Park","W",3408,2018-04-10
"18391",40390,"Forest Park","A",1727,2018-06-30
"18493",40390,"Forest Park","W",3327,2018-04-04
"18715",40390,"Forest Park","W",3629,2018-06-27
"19316",40390,"Forest Park","W",3320,2018-04-05
"19415",40390,"Forest Park","W",3146,2018-05-14
"19501",40390,"Forest Park","W",3494,2018-05-09
"19515",40390,"Forest Park","W",3309,2018-06-15
"19518",40390,"Forest Park","W",3411,2018-05-16
"19551",40390,"Forest Park","W",3438,2018-06-19
"19842",40390,"Forest Park","W",3425,2018-06-14
"19854",40390,"Forest Park","W",3442,2018-04-19
"19927",40390,"Forest Park","W",3588,2018-04-12
"20071",40390,"Forest Park","A",1678,2018-06-16
"20163",40390,"Forest Park","W",3619,2018-06-20
"20340",40390,"Forest Park","A",1376,2018-04-14
"20488",40390,"Forest Park","W",3370,2018-06-04
"20649",40390,"Forest Park","W",3597,2018-05-23
"20752",40390,"Forest Park","U",1598,2018-05-28
"21167",40390,"Forest Park","W",3273,2018-04-09
"21458",40390,"Forest Park","U",938,2018-04-15
"21501",40390,"Forest Park","W",3338,2018-04-23
"21569",40390,"Forest Park","W",3508,2018-04-24
"21649",40390,"Forest Park","A",1748,2018-06-23
"21972",40390,"Forest Park","W",3175,2018-05-29
"21997",40390,"Forest Park","W",3515,2018-06-13
"22210",40390,"Forest Park","W",3184,2018-06-21
"22626",40390,"Forest Park","W",3449,2018-05-17
"22979",40390,"Forest Park","W",3577,2018-06-06
"23023",40390,"Forest Park","W",3490,2018-06-05
"23046",40390,"Forest Park","W",3307,2018-04-13
"23064",40390,"Forest Park","A",1729,2018-05-26
"23219",40390,"Forest Park","U",1065,2018-04-01
"23346",40390,"Forest Park","W",3591,2018-05-24
"23366",40390,"Forest Park","W",3291,2018-04-27
"23453",40390,"Forest Park","W",3223,2018-05-30
"23637",40390,"Forest Park","A",1636,2018-05-05
"23664",40390,"Forest Park","W",3322,2018-06-11
"23675",40390,"Forest Park","W",3522,2018-04-25
"23731",40390,"Forest Park","U",1244,2018-05-13
"23849",40390,"Forest Park","W",3532,2018-05-01
"23926",40390,"Forest Park","U",1186,2018-05-06
"23945",40390,"Forest Park","A",1935,2018-06-09
"23999",40390,"Forest Park","U",1302,2018-04-29
"24166",40390,"Forest Park","U",1224,2018-04-22
"24635",40390,"Forest Park","W",3141,2018-05-18
"24800",40390,"Forest Park","W",3697,2018-06-07
"24866",40390,"Forest Park","W",3292,2018-04-20
"24899",40390,"Forest Park","W",3210,2018-04-06
"25355",40390,"Forest Park","W",3057,2018-04-02
"25467",40390,"Forest Park","U",2199,2018-06-24
"25683",40390,"Forest Park","A",1434,2018-04-07
"25745",40390,"Forest Park","U",1423,2018-05-27
"25971",40390,"Forest Park","A",1527,2018-04-21
"25977",40390,"Forest Park","A",1487,2018-04-28
"25979",40390,"Forest Park","W",2960,2018-05-21
"26142",40390,"Forest Park","W",3422,2018-05-31
"26204",40390,"Forest Park","W",3342,2018-05-07
"26272",40390,"Forest Park","W",3456,2018-05-15
"26362",40390,"Forest Park","W",3626,2018-06-08
"26371",40390,"Forest Park","W",3499,2018-05-22
"26437",40390,"Forest Park","W",3246,2018-05-25
